@relation cpu-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
125,256,6000,256,16,128,198
29,8000,32000,32,8,32,269
29,8000,32000,32,8,32,220
29,8000,32000,32,8,32,172
29,8000,16000,32,8,16,132
26,8000,32000,64,8,32,318
23,16000,32000,64,16,32,367
23,16000,32000,64,16,32,489
23,16000,64000,64,16,32,636
23,32000,64000,128,32,64,1144
400,1000,3000,0,1,2,38
400,512,3500,4,1,6,40
60,2000,8000,65,1,8,92
50,4000,16000,65,1,8,138
350,64,64,0,1,4,10
200,512,16000,0,4,32,35
167,524,2000,8,4,15,19
143,512,5000,0,7,32,28
143,1000,2000,0,5,16,31
110,5000,5000,142,8,64,120
143,1500,6300,0,5,32,30
143,3100,6200,0,5,20,33
143,2300,6200,0,6,64,61
110,3100,6200,0,6,64,76
320,128,6000,0,1,12,23
320,512,2000,4,1,3,69
320,256,6000,0,1,6,33
320,256,3000,4,1,3,27
320,512,5000,4,1,5,77
320,256,5000,4,1,6,27
25,1310,2620,131,12,24,274
25,1310,2620,131,12,24,368
50,2620,10480,30,12,24,32
50,2620,10480,30,12,24,63
56,5240,20970,30,12,24,106
64,5240,20970,30,12,24,208
50,500,2000,8,1,4,20
50,1000,4000,8,1,5,29
50,2000,8000,8,1,5,71
50,1000,4000,8,3,5,26
50,1000,8000,8,3,5,36
50,2000,16000,8,3,5,40
50,2000,16000,8,3,6,52
50,2000,16000,8,3,6,60
133,1000,12000,9,3,12,72
133,1000,8000,9,3,12,72
810,512,512,8,1,1,18
810,1000,5000,0,1,1,20
320,512,8000,4,1,5,40
200,512,8000,8,1,8,62
700,384,8000,0,1,1,24
700,256,2000,0,1,1,24
140,1000,16000,16,1,3,138
200,1000,8000,0,1,2,36
110,1000,4000,16,1,2,26
110,1000,12000,16,1,2,60
220,1000,8000,16,1,2,71
800,256,8000,0,1,4,12
800,256,8000,0,1,4,14
800,256,8000,0,1,4,20
800,256,8000,0,1,4,16
800,256,8000,0,1,4,22
125,512,1000,0,8,20,36
